Time,PV(W),Grid(W),Load(W)
2025-02-08 00:00:00,0,455,455
2025-02-08 00:05:00,0,419,419
2025-02-08 00:10:00,0,182,182
2025-02-08 00:15:00,0,176,176
2025-02-08 00:20:00,0,212,212
2025-02-08 00:25:00,0,189,189
2025-02-08 00:30:00,0,152,152
2025-02-08 00:35:00,0,400,400
2025-02-08 00:40:00,0,168,168
2025-02-08 00:45:00,0,171,171
2025-02-08 00:50:00,0,169,169
2025-02-08 00:55:00,0,167,167
2025-02-08 01:00:00,0,388,388
2025-02-08 01:05:00,0,428,428
2025-02-08 01:10:00,0,200,200
2025-02-08 01:15:00,0,218,218
2025-02-08 01:20:00,0,184,184
2025-02-08 01:25:00,0,346,346
2025-02-08 01:30:00,0,314,314
2025-02-08 01:35:00,0,362,362
2025-02-08 01:40:00,0,637,637
2025-02-08 01:45:00,0,365,365
2025-02-08 01:50:00,0,211,211
2025-02-08 01:55:00,0,264,264
2025-02-08 02:00:00,0,231,231
2025-02-08 02:05:00,0,240,240
2025-02-08 02:10:00,0,227,227
2025-02-08 02:15:00,0,250,250
2025-02-08 02:20:00,0,733,733
2025-02-08 02:25:00,0,433,433
2025-02-08 02:30:00,0,213,213
2025-02-08 02:35:00,0,239,239
2025-02-08 02:40:00,0,149,149
2025-02-08 02:45:00,0,153,153
2025-02-08 02:50:00,0,163,163
2025-02-08 02:55:00,0,181,181
2025-02-08 03:00:00,0,168,168
2025-02-08 03:05:00,0,180,180
2025-02-08 03:10:00,0,181,181
2025-02-08 03:15:00,0,359,359
2025-02-08 03:20:00,0,200,200
2025-02-08 03:25:00,0,187,187
2025-02-08 03:30:00,0,180,180
2025-02-08 03:35:00,0,176,176
2025-02-08 03:40:00,0,189,189
2025-02-08 03:45:00,0,158,158
2025-02-08 03:50:00,0,176,176
2025-02-08 03:55:00,0,179,179
2025-02-08 04:00:00,0,182,182
2025-02-08 04:05:00,0,536,536
2025-02-08 04:10:00,0,240,240
2025-02-08 04:15:00,0,170,170
2025-02-08 04:20:00,0,172,172
2025-02-08 04:25:00,0,182,182
2025-02-08 04:30:00,0,186,186
2025-02-08 04:35:00,0,198,198
2025-02-08 04:40:00,0,174,174
2025-02-08 04:45:00,0,181,181
2025-02-08 04:50:00,0,169,169
2025-02-08 04:55:00,0,167,167
2025-02-08 05:00:00,0,133,133
2025-02-08 05:05:00,0,216,216
2025-02-08 05:10:00,0,168,168
2025-02-08 05:15:00,0,188,188
2025-02-08 05:20:00,0,373,373
2025-02-08 05:25:00,0,162,162
2025-02-08 05:30:00,0,116,116
2025-02-08 05:35:00,0,160,160
2025-02-08 05:40:00,0,204,204
2025-02-08 05:45:00,0,192,192
2025-02-08 05:50:00,0,181,181
2025-02-08 05:55:00,110,28,138
2025-02-08 06:00:00,127,41,168
2025-02-08 06:05:00,148,66,214
2025-02-08 06:10:00,165,16,181
2025-02-08 06:15:00,179,0,179
2025-02-08 06:20:00,197,-52,145
2025-02-08 06:25:00,215,-21,194
2025-02-08 06:30:00,229,-46,183
2025-02-08 06:35:00,250,-73,177
2025-02-08 06:40:00,262,123,385
2025-02-08 06:45:00,322,-183,139
2025-02-08 06:50:00,869,-731,138
2025-02-08 06:55:00,914,-676,238
2025-02-08 07:00:00,961,-728,233
2025-02-08 07:05:00,2355,-2186,169
2025-02-08 07:10:00,2670,-2486,184
2025-02-08 07:15:00,2778,-2603,175
2025-02-08 07:20:00,2873,-2620,253
2025-02-08 07:25:00,3880,-3564,316
2025-02-08 07:30:00,4035,-3693,342
2025-02-08 07:35:00,4099,-1694,2405
2025-02-08 07:40:00,4198,-3911,287
2025-02-08 07:45:00,4291,-3968,323
2025-02-08 07:50:00,4383,-4054,329
2025-02-08 07:55:00,4353,-4134,219
2025-02-08 08:00:00,4533,-4180,353
2025-02-08 08:05:00,4621,-4293,328
2025-02-08 08:10:00,4671,-4342,329
2025-02-08 08:15:00,4740,-2002,2738
2025-02-08 08:20:00,4818,-4398,420
2025-02-08 08:25:00,4873,-4490,383
2025-02-08 08:30:00,4934,-4557,377
2025-02-08 08:35:00,4950,-4556,394
2025-02-08 08:40:00,4974,-4290,684
2025-02-08 08:45:00,4957,-4376,581
2025-02-08 08:50:00,4892,-4597,295
2025-02-08 08:55:00,4854,-4228,626
2025-02-08 09:00:00,5000,-4724,276
2025-02-08 09:05:00,4971,-4380,591
2025-02-08 09:10:00,4267,-4160,107
2025-02-08 09:15:00,4971,-4390,581
2025-02-08 09:20:00,4973,-4420,553
