Time,PV(kWh),Purchased Energy(kWh),Feed-in(kWh),Load(kWh)
2025-01-01,33.8,5,18.7,20.1
2025-01-02,21.8,3.3,15.8,9.3
2025-01-03,32.4,3.8,24.5,11.7
2025-01-04,32.6,2.6,26.9,8.3
2025-01-05,29.4,3.2,19.7,12.9
2025-01-06,31.5,3.1,29.2,5.4
2025-01-07,36.9,8.4,26.2,19.1
2025-01-08,26.5,3.3,23.2,6.6
2025-01-09,26.4,2.9,22.1,7.2
2025-01-10,21.2,4.8,14.4,11.6
2025-01-11,14.2,3.1,11.4,5.9
2025-01-12,23.4,7.3,17.1,13.6
2025-01-13,27.2,6.5,17.2,16.5
2025-01-14,29.9,3.7,26.8,6.8
2025-01-15,30.8,4.6,19.8,15.6
2025-01-16,38.2,5.6,29.2,14.6
2025-01-17,36.4,4.3,29.1,11.6
2025-01-18,32.2,4.3,22,14.5
2025-01-19,31.2,3.4,26.9,7.7
2025-01-20,39.1,4.3,35.2,8.2
2025-01-21,32.8,4.6,29.1,8.3
2025-01-22,38.9,6.3,17.7,27.5
2025-01-23,31.3,3.6,27.8,7.1
2025-01-24,22.9,13.4,8.6,27.7
2025-01-25,31.3,3.3,28.7,5.9
2025-01-26,24.1,1.8,21.9,4
2025-01-27,23.8,1.7,21.6,3.9
2025-01-28,38.5,1.7,36.2,4
2025-01-29,31.4,1.9,29.2,4.1
2025-01-30,30.5,1.7,28.2,4
2025-01-31,27.2,1.9,24.9,4.2
