Time,PV(kWh),Energy purchase(kWh),Feed-in(kWh),Load(kWh)
2025-10-01,17.5,6.7,6.5,17.7
2025-10-02,31.8,3.4,20.7,14.5
2025-10-03,32.9,3.8,17,19.7
2025-10-04,30,2.6,18.7,13.9
2025-10-05,33.3,4.7,26.3,11.7
2025-10-06,33,5.4,12,26.4
2025-10-07,32.4,4.3,16,20.7
2025-10-08,29.5,4.4,15.1,18.8
2025-10-09,33,4.5,15.2,22.3
2025-10-10,29.6,5.4,12.7,22.3
2025-10-11,28,3.7,11.8,19.9
2025-10-12,22.6,6.5,11.1,18
2025-10-13,20.4,5.8,11.7,14.5
2025-10-14,23.4,5.3,15.8,12.9
2025-10-15,25.6,4.9,13.8,16.7
2025-10-16,28.1,4.6,20.7,12
2025-10-17,34.2,5.5,19.5,20.2
2025-10-18,32.4,3.9,16.2,20.1
2025-10-19,32.3,4.1,23,13.4
2025-10-20,31.3,3.8,20.4,14.7
2025-10-21,33.9,2.5,26,10.4
2025-10-22,34.2,5.8,22.8,17.2
2025-10-23,25.2,6.1,11.2,20.1
2025-10-24,29.3,5.3,11.3,23.3
2025-10-25,28.8,3.8,15.2,17.4
2025-10-26,27.7,7.2,15.8,19.1
2025-10-27,34.5,4.8,26.1,13.2
2025-10-28,3.2,5.3,1.2,7.3
2025-10-29,24,5.6,14,15.6
2025-10-30,31,5,16,20
2025-10-31,28,7.7,12.6,23.1
