Time,PV(kWh),Energy purchase(kWh),Feed-in(kWh),Load(kWh)
2025-11-01,19.8,7.5,7.4,19.9
2025-11-02,33.1,8.2,21,20.3
2025-11-03,27,4.4,17.2,14.2
2025-11-04,18.4,4.6,15.5,7.5
2025-11-05,38,4.7,18,24.7
2025-11-06,30.4,4.9,20.8,14.5
2025-11-07,32.9,4.9,20.8,17
2025-11-08,37,6.3,28.5,14.8
2025-11-09,11.7,4.3,7.2,8.8
2025-11-10,19.2,4.1,15.2,8.1
2025-11-11,37.3,4.8,22.6,19.5
2025-11-12,33.8,3.3,20.2,16.9
2025-11-13,33.4,3.9,23.9,13.4
2025-11-14,11,4.1,5.3,9.8
2025-11-15,31.8,6.3,16.8,21.3
2025-11-16,12.2,7.9,3.6,16.5
2025-11-17,38.8,3.1,26.1,15.8
2025-11-18,32,4.4,23.5,12.9
2025-11-19,29.6,4.9,16.2,18.3
2025-11-20,37.4,4.9,26.8,15.5
2025-11-21,26.2,5.4,13.9,17.7
2025-11-22,25.7,7.3,13,20
2025-11-23,21.4,5.5,8.5,18.4
2025-11-24,31.8,4,24.8,11
2025-11-25,35.4,6.5,26.6,15.3
2025-11-26,19.7,7.1,9.3,17.5
2025-11-27,37.9,10.6,24.6,23.9
2025-11-28,37.2,9.5,16.5,30.2
2025-11-29,16.1,3.7,8.6,11.2
2025-11-30,30.8,1.8,26.5,6.1
