Time,PV(kWh),Purchased Energy(kWh),Feed-in(kWh),Load(kWh)
2025-04-01,16.2,5.6,6.9,14.9
2025-04-02,3.8,5.1,0.7,8.2
2025-04-03,13.6,4.1,8.3,9.4
2025-04-04,17.1,8.9,5.1,20.9
2025-04-05,27.4,4.5,13.9,18
2025-04-06,20.8,3.9,11.9,12.8
2025-04-07,28.4,3.7,21.7,10.4
2025-04-08,24.8,3.4,19.1,9.1
2025-04-09,23.4,5.2,14,14.6
2025-04-10,25.3,3.6,17.4,11.5
2025-04-11,26.5,4.4,16.5,14.4
2025-04-12,14.1,4.7,7.4,11.4
2025-04-13,21.4,4.1,15.2,10.3
2025-04-14,21.2,3.2,15.1,9.3
2025-04-15,19.2,3.9,12.3,10.8
2025-04-16,24.1,3.6,12.6,15.1
2025-04-17,25.4,3.4,18.5,10.3
2025-04-18,25.7,3,15.8,12.9
2025-04-19,25.2,3.2,20.4,8
2025-04-20,24.5,4.2,19.1,9.6
2025-04-21,23.2,4.2,16.6,10.8
2025-04-22,25.4,3.8,16.8,12.4
2025-04-23,23.5,3.8,11.2,16.1
2025-04-24,10.3,4.6,5.8,9.1
2025-04-25,10.6,4.6,6.1,9.1
2025-04-26,21.2,6.1,11,16.3
2025-04-27,23.2,4.7,10.1,17.8
2025-04-28,24,4.3,16.5,11.8
2025-04-29,22.6,4,10.5,16.1
2025-04-30,20.2,4.5,11.9,12.8
