Time,PV(kWh),Purchased energy(kWh),Feed-in(kWh),Load(kWh)
2025-06-01,13.5,4.7,6.3,11.9
2025-06-02,12.7,4.4,4.5,12.6
2025-06-03,16.1,3.9,7.9,12.1
2025-06-04,15.2,6.4,3.8,17.8
2025-06-05,16.5,6.2,3.3,19.4
2025-06-06,17.1,6,5.1,18
2025-06-07,13,6.7,3.8,15.9
2025-06-08,16.3,5.1,4.6,16.8
2025-06-09,15.2,7.1,5.5,16.8
2025-06-10,16.4,9.3,5.4,20.3
2025-06-11,16.3,9.4,2.5,23.2
2025-06-12,15.1,9.4,6.2,18.3
2025-06-13,16.3,7.5,3.8,20
2025-06-14,16.6,6.5,6.7,16.4
2025-06-15,15.5,6.2,4.1,17.6
2025-06-16,15.7,6.3,4.2,17.8
2025-06-17,8.9,9.1,1.1,16.9
2025-06-18,15.1,7.6,4.3,18.4
2025-06-19,15,7.4,1.9,20.5
2025-06-20,10.5,9.5,1,19
2025-06-21,9.3,11.2,1.6,18.9
2025-06-22,14,6.7,4.7,16
2025-06-23,10.7,6.7,2.4,15
2025-06-24,12.9,6.7,4.2,15.4
2025-06-25,15.7,5.8,7,14.5
2025-06-26,16.5,5.2,3.4,18.3
2025-06-27,16.4,2.8,8.9,10.3
2025-06-28,11.7,3.3,7.8,7.2
2025-06-29,7.9,3.7,4.5,7.1
2025-06-30,4.9,5.2,2.7,7.4
